id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/251a5aeb-7065-43e6-94ce-8e6545a57ea9,Aaron Ling Johanson,Democratic,31,lower,Aaron,Johanson,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/johanson.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=johanson&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=johanson&year=2019,"Hawaii State Capitol, Room 436",repjohanson@Capitol.hawaii.gov,808-586-9470,808-586-9476,,,,,,,,
ocd-person/cb860f85-2006-4d5b-b1a8-1c56c1def2d7,Amy A. Perruso,Democratic,46,lower,Amy,Perruso,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/perruso.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2019,"Hawaii State Capitol, Room 303",repperruso@Capitol.hawaii.gov,808-586-6700,808-586-6702,,,,,,,,
ocd-person/d31a4d99-d6f1-42f8-b902-b6bff3c667e8,Angus L.K. McKelvey,Democratic,10,lower,Angus,McKelvey,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/mckelvey.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2019,"Hawaii State Capitol, Room 444",repmckelvey@Capitol.hawaii.gov,808-586-6160,808-586-6161,,,,,,,,
ocd-person/05b3f451-01f6-4c0c-a01c-1bb379a80462,Bertrand Kobayashi,Democratic,19,lower,Bertrand,Kobayashi,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/kobayashi.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=kobayashi&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=kobayashi&year=2019,"Hawaii State Capitol, Room 403",repkobayashi@Capitol.hawaii.gov,808-586-6310,808-586-6311,,,,,,,,
ocd-person/4f069ee2-9761-4de3-925a-48843627beed,Bob McDermott,Republican,40,lower,Bob,McDermott,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/mcdermott.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=mcdermott&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=mcdermott&year=2019,"Hawaii State Capitol, Room 330",repmcdermott@Capitol.hawaii.gov,808-586-9730,808-586-9738,,,,,,,,
ocd-person/4f2eab03-086b-4201-a97c-d011e9b97e27,Breene Harimoto,Democratic,16,upper,Breene,Harimoto,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/harimoto.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=harimoto&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=S;http://capitol.hawaii.gov/memberpage.aspx?member=harimoto&year=2019,"Hawaii State Capitol, Room 215",senharimoto@capitol.hawaii.gov,808-586-6230,808-586-6231,,,,,,,,
ocd-person/364c43d8-5f71-49ca-b6a8-3df07088f00c,Brian T. Taniguchi,Democratic,11,upper,Brian,Taniguchi,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/taniguchi.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=taniguchi&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=S;http://capitol.hawaii.gov/memberpage.aspx?member=taniguchi&year=2019,"Hawaii State Capitol, Room 219",sentaniguchi@capitol.hawaii.gov,808-586-6460,808-586-6461,,,,,,,,
ocd-person/f18befdb-c688-4a37-a27d-e14ca8f861a5,Calvin K.Y. Say,Democratic,20,lower,Calvin,Say,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/say.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=say&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=say&year=2019,"Hawaii State Capitol, Room 433",repsay@Capitol.hawaii.gov,808-586-6900,808-586-6910,,,,,,,,
ocd-person/12fb4131-d77f-4053-9319-204d396f433b,Cedric Asuega Gates,Democratic,44,lower,Cedric,Gates,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/gates.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=gates&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=gates&year=2019,"Hawaii State Capitol, Room 311",repgates@Capitol.hawaii.gov,808-586-8460,808-586-8464,,,,,,,,
ocd-person/c1050772-3f88-4762-be91-db88811a2b3b,Chris Lee,Democratic,51,lower,Chris,Lee,,,,,http://capitol.hawaii.gov/Members/Images/RepSenPhotos/clee.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=clee&year=2019,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=clee&year=2019,"Hawaii State Capitol, Room 302",replee@Capitol.hawaii.gov,808-586-9450,808-586-9456,,,,,,,,
