id,name,current_party,current_district,current_chamber,given_name,family_name,gender,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_email,capitol_voice,capitol_fax,district_address,district_email,district_voice,district_fax,twitter,youtube,instagram,facebook
ocd-person/0d2ab15c-9a74-4187-af4e-39c77c215f57,Adam J. Satchell,Democratic,9,upper,Adam J.,Satchell,Male,,,,http://www.rilin.state.ri.us/Senators/Pictures/satchell.jpg,http://www.rilin.state.ri.us/senators/Algiere/,http://webserver.rilin.state.ri.us/Email/SenEmailListDistrict.asp;http://www.rilin.state.ri.us/senators/Satchell/,,,,,"1589 Main Street, 1st Floor, West Warwick, RI 02893",sen-satchell@rilegislature.gov,401-615-5170,,,,,
ocd-person/7769ff96-3f6e-4747-b14b-de0a8648af61,Alex Marszalkowski,Democratic,52,lower,Alex,Marszalkowski,Male,,,,http://www.rilin.state.ri.us/representatives/Pictures/marszalkowski.jpg,http://www.rilin.state.ri.us/representatives/carson/,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Marszalkowski/,,,,,"140 Sumner Brown Road Cumberland, RI 02864 ",rep-Marszalkowski@rilegislature.gov,401-714-4425,,,,,
ocd-person/a857e27b-7ced-43ad-bd08-a954e5f781ac,Ana B. Quezada,Democratic,2,upper,Ana B.,Quezada,Female,,,,http://www.rilin.state.ri.us/senators/pictures/quezada.jpg,http://www.rilin.state.ri.us/senators/Algiere/,http://webserver.rilin.state.ri.us/Email/SenEmailListDistrict.asp;http://www.rilin.state.ri.us/senators/Quezada/,,,,,"92 Crescent Street Providence, RI 02907",sen-Quezada@rilegislature.gov,401-680-5515,,,,,
ocd-person/404614b3-d36c-4a74-a58b-a23671567982,Anastasia P. Williams,Democratic,9,lower,Anastasia P.,Williams,Female,,,,http://www.rilin.state.ri.us/representatives/pictures/williams.jpg,http://www.rilin.state.ri.us/representatives/carson/,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Williams/,,,,,"32 Hammond Street, Providence, RI 02909",rep-williams@rilegislature.gov,401-272-8135,,,,,
ocd-person/6d4c7be7-4e68-4aa1-9262-81995fcc231e,Arthur Handy,Democratic,18,lower,Arthur,Handy,Male,,,,http://www.rilin.state.ri.us/representatives/pictures/handy.jpg,http://www.rilin.state.ri.us/representatives/carson/,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Handy/,,,,,"26 Welfare Avenue, Cranston, RI 02910",rep-handy@rilegislature.gov,401-785-8996,,,,,
ocd-person/6cb1ca03-2ea8-4ee8-9ecb-faa37f4c5966,Arthur J. Corvese,Democratic,55,lower,Arthur J.,Corvese,Male,,,,http://www.rilin.state.ri.us/representatives/pictures/corvese.jpg,http://www.rilin.state.ri.us/representatives/carson/,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Corvese/,,,,,"234 Lexington Avenue, North Providence, RI 02904",rep-corvese@rilegislature.gov,401-353-8695,,,,,
ocd-person/62ba6b74-0e30-43cb-ad46-eb629c1e4662,Bernard A. Hawkins,Democratic,53,lower,,,Male,,,,http://www.rilin.state.ri.us/representatives/pictures/hawkins.jpg,http://www.rilin.state.ri.us/representatives/carson/,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Hawkins/,,,,,"22 Colwell Road, Greenville, RI 02828",rep-hawkins@rilegislature.gov,401-837-7141,,,,,
ocd-person/c3d89d22-7c7d-4501-90ea-8ff3d0dfd008,Blake A. Filippi,Independent,36,lower,Blake A.,Filippi,Male,,,,http://www.rilin.state.ri.us/representatives/pictures/filippi.jpg,http://www.rilin.state.ri.us/representatives/carson/,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/filippi/,,,,,"P.O. Box 298, New Shoreham, RI 02807",rep-filippi@rilegislature.gov,401-222-2466,,,,,
ocd-person/397f8729-c37c-4882-af7e-d7235e9f06f2,Brian C. Newberry,Republican,48,lower,Brian C.,Newberry,Male,,,,http://www.rilin.state.ri.us/representatives/pictures/newberry.jpg,http://www.rilin.state.ri.us/representatives/carson/,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Newberry/,,,,,"53 Follett Street, North Smithfield, RI 02896",rep-newberry@rilegislature.gov,401-222-2259,,,,,
ocd-person/632b3bf0-a3f8-4c0d-9818-d03c861318dc,Brian Patrick Kennedy,Democratic,38,lower,Brian Patrick,Kennedy,Male,,,,http://www.rilin.state.ri.us/representatives/pictures/kennedy.jpg,http://www.rilin.state.ri.us/representatives/carson/,http://webserver.rilin.state.ri.us/Email/RepEmailListDistrict.asp;http://www.rilin.state.ri.us/representatives/Kennedy/,,,,,"P.O. Box 1001, Ashaway, RI 02804-0018",rep-kennedy@rilegislature.gov,401-377-8818,,,,,
